"Gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene1",157,18,28,1449,237,270
"Gene2",70,0,1,450,96,12
"Gene3",335,43,4,300,3,135
"Gene4",1,5,0,6,138,48
"Gene5",315,9,361,174,222,270
"Gene6",142,117,282,24,21,15
"Gene7",11,0,98,621,15,12
"Gene8",562,0,44,630,219,66
"Gene9",103,132,296,756,48,12
"Gene10",1,137,11,1149,21,3
"Gene11",8,12,361,51,84,195
"Gene12",13,38,0,213,51,462
"Gene13",11,109,4,81,342,3
"Gene14",11,1,666,30,243,279
"Gene15",108,8,155,30,1701,210
"Gene16",126,140,5,207,69,282
"Gene17",82,546,81,1380,321,240
"Gene18",120,87,3,600,270,15
"Gene19",189,81,115,357,0,12
"Gene20",162,60,198,162,66,834
"Gene21",20,67,18,183,120,141
"Gene22",174,3,1,51,186,102
"Gene23",209,100,4,210,39,12
"Gene24",5,35,0,111,222,498
"Gene25",176,66,13,75,231,1113
"Gene26",15,14,16,108,393,1131
"Gene27",7,130,68,243,3,63
"Gene28",5,299,0,6,15,60
"Gene29",47,95,87,438,3,252
"Gene30",6,214,0,558,0,0
"Gene31",307,144,210,6,9,72
"Gene32",157,55,208,2190,15,603
"Gene33",90,414,69,1332,111,15
"Gene34",236,4,1,0,15,93
"Gene35",18,146,31,165,3,48
"Gene36",29,85,74,0,624,282
"Gene37",68,11,83,867,393,90
"Gene38",24,29,113,258,123,978
"Gene39",24,3,114,21,99,714
"Gene40",0,11,0,99,501,39
"Gene41",12,7,7,186,1245,204
"Gene42",6,8,973,1173,687,9
"Gene43",0,181,7,90,513,3
"Gene44",8,157,185,15,597,981
"Gene45",79,42,0,258,36,69
"Gene46",66,1,51,801,81,27
"Gene47",28,409,85,291,297,30
"Gene48",53,111,16,165,1413,87
"Gene49",11,625,15,288,93,348
"Gene50",146,6,4,33,582,3
"Gene51",6,12,2,0,44,80
"Gene52",66,99,7,10,289,427
"Gene53",6,65,117,532,4,439
"Gene54",6,10,62,9,86,37
"Gene55",31,163,310,5,51,9
"Gene56",44,37,135,46,16,41
"Gene57",394,4,0,131,6,87
"Gene58",44,236,225,153,48,58
"Gene59",25,9,693,3,35,45
"Gene60",155,115,21,149,184,16
"Gene61",47,27,347,17,77,472
"Gene62",83,35,38,1,3,2
"Gene63",28,111,4,27,116,1
"Gene64",21,306,79,19,96,203
"Gene65",1,8,2,16,471,9
"Gene66",57,1,25,84,110,110
"Gene67",4,0,38,68,440,0
"Gene68",14,59,140,95,494,6
"Gene69",1,91,34,183,473,92
"Gene70",123,1,69,4,21,187
"Gene71",578,31,218,90,42,85
"Gene72",84,72,3,53,575,78
"Gene73",65,2,5,2,33,4
"Gene74",81,6,27,26,153,20
"Gene75",67,742,17,424,298,49
"Gene76",50,7,7,0,0,37
"Gene77",30,20,2,6,34,2
"Gene78",1,31,114,42,0,108
"Gene79",42,18,0,34,126,220
"Gene80",181,40,165,122,62,10
"Gene81",3,3,136,39,94,10
"Gene82",13,39,40,155,24,89
"Gene83",41,0,40,53,3,169
"Gene84",59,114,0,177,109,496
"Gene85",82,5,53,11,0,99
"Gene86",276,393,26,12,15,480
"Gene87",41,240,25,29,363,11
"Gene88",170,32,29,592,17,1
"Gene89",4,3,30,18,0,39
"Gene90",27,56,33,177,0,193
"Gene91",1,99,36,382,150,45
"Gene92",16,334,250,4,139,189
"Gene93",1,341,3,1120,246,105
"Gene94",92,0,206,66,1,141
"Gene95",41,313,62,128,1,60
"Gene96",115,1,179,7,57,143
"Gene97",17,1,774,25,6,129
"Gene98",25,30,3,123,46,97
"Gene99",78,1,2,28,49,0
"Gene100",797,516,229,3,4,105
"Gene101",0,0,221,6,329,74
"Gene102",13,27,343,239,143,225
"Gene103",851,0,189,0,15,87
"Gene104",32,26,38,111,202,291
"Gene105",19,49,801,176,18,88
"Gene106",163,16,87,306,17,3
"Gene107",43,4,176,78,86,23
"Gene108",9,17,58,0,143,158
"Gene109",134,0,89,57,265,667
"Gene110",33,9,11,14,8,35
"Gene111",5,22,161,670,95,79
"Gene112",128,37,80,55,28,21
"Gene113",75,480,291,78,41,44
"Gene114",242,26,2,45,33,23
"Gene115",11,6,0,109,132,23
"Gene116",14,259,149,110,100,458
"Gene117",51,248,129,0,0,97
"Gene118",4,18,2,42,45,28
"Gene119",64,255,130,63,6,34
"Gene120",4,1,91,277,25,224
"Gene121",109,49,16,61,123,104
"Gene122",76,181,141,2,109,110
"Gene123",133,294,138,17,414,20
"Gene124",269,0,154,253,257,203
"Gene125",31,70,27,42,7,16
"Gene126",106,0,38,95,172,51
"Gene127",36,4,1,68,0,7
"Gene128",34,133,73,101,131,0
"Gene129",2,0,87,21,181,56
"Gene130",32,145,9,31,18,63
"Gene131",7,12,52,0,55,38
"Gene132",7,15,282,69,43,3
"Gene133",69,19,7,91,13,5
"Gene134",164,0,17,11,69,21
"Gene135",43,43,217,643,16,27
"Gene136",22,223,357,149,40,2
"Gene137",232,137,17,248,523,96
"Gene138",96,11,2,9,7,177
"Gene139",6,25,0,52,52,570
"Gene140",76,24,92,51,31,226
"Gene141",9,34,23,4,46,77
"Gene142",67,1,143,0,158,303
"Gene143",11,40,50,30,26,158
"Gene144",47,303,99,11,121,62
"Gene145",184,118,463,2,12,0
"Gene146",4,0,25,5,0,145
"Gene147",185,833,169,84,0,12
"Gene148",24,1,45,313,2,197
"Gene149",49,58,124,0,55,6
"Gene150",225,30,5,1,1,561
"Gene151",0,5,168,119,273,126
"Gene152",128,624,566,38,15,5
"Gene153",4,0,85,31,66,42
"Gene154",20,96,629,36,8,5
"Gene155",46,480,371,0,43,4
"Gene156",2,20,497,17,21,121
"Gene157",0,0,7,40,13,87
"Gene158",30,0,19,12,4,7
"Gene159",15,0,22,148,20,211
"Gene160",639,119,467,10,26,45
"Gene161",3,5,54,14,91,54
"Gene162",61,167,2,77,3,73
"Gene163",0,23,101,65,0,54
"Gene164",129,2,10,30,163,6
"Gene165",1,4,0,45,86,10
"Gene166",25,0,115,174,773,307
"Gene167",134,101,16,58,70,94
"Gene168",204,140,154,0,198,26
"Gene169",7,13,1,1,4,20
"Gene170",0,28,24,397,209,58
"Gene171",44,138,37,376,60,22
"Gene172",253,11,188,45,35,0
"Gene173",4,708,351,80,8,3
"Gene174",4,310,115,221,285,173
"Gene175",2,2,39,56,5,34
"Gene176",89,2,33,338,4,33
"Gene177",81,95,2,368,6,3
"Gene178",5,14,408,0,224,0
"Gene179",25,396,37,54,34,100
"Gene180",0,40,0,7,140,30
"Gene181",6,38,8,321,63,50
"Gene182",78,91,33,12,450,26
"Gene183",41,62,19,21,3,129
"Gene184",128,0,26,0,5,264
"Gene185",172,62,10,79,28,5
"Gene186",89,110,223,619,61,32
"Gene187",1,95,72,20,52,719
"Gene188",244,32,56,9,21,272
"Gene189",21,25,47,29,226,570
"Gene190",5,134,75,46,49,10
"Gene191",542,247,23,99,39,2
"Gene192",0,38,135,0,241,116
"Gene193",338,38,66,111,41,0
"Gene194",91,2,50,22,48,87
"Gene195",1,223,190,54,8,7
"Gene196",1,33,387,43,46,14
"Gene197",336,914,27,84,301,47
"Gene198",193,1,304,43,1,38
"Gene199",38,6,0,3,70,0
"Gene200",178,52,136,72,19,275
"Gene201",0,136,88,1,174,60
"Gene202",20,5,49,119,0,5
"Gene203",352,15,92,25,148,43
"Gene204",23,112,49,100,48,438
"Gene205",54,168,49,0,5,51
"Gene206",197,14,13,809,5,0
"Gene207",57,144,21,546,25,87
"Gene208",39,0,71,6,273,46
"Gene209",0,13,21,275,128,27
"Gene210",45,8,23,7,7,206
"Gene211",24,0,11,489,165,2
"Gene212",1,33,24,160,8,173
"Gene213",81,83,67,126,51,40
"Gene214",0,211,186,0,7,66
"Gene215",249,40,13,25,26,191
"Gene216",22,1,30,80,48,94
"Gene217",111,468,59,25,52,5
"Gene218",21,68,64,93,0,20
"Gene219",12,99,482,16,0,38
"Gene220",177,92,196,59,191,13
"Gene221",47,0,267,411,473,161
"Gene222",272,147,202,20,35,0
"Gene223",14,425,426,86,47,24
"Gene224",134,230,36,7,20,13
"Gene225",32,50,107,62,2,159
"Gene226",0,142,48,113,931,18
"Gene227",105,24,3,10,113,7
"Gene228",181,74,2,86,29,126
"Gene229",138,31,25,1,7,51
"Gene230",56,59,102,25,26,23
"Gene231",139,283,8,46,120,149
"Gene232",4,93,58,226,10,69
"Gene233",73,293,8,98,14,168
"Gene234",15,271,21,365,242,78
"Gene235",68,261,291,3,6,220
"Gene236",5,0,6,152,50,28
"Gene237",15,231,11,98,171,11
"Gene238",99,62,67,38,27,212
"Gene239",1,1,294,348,3,22
"Gene240",1,58,178,60,9,185
"Gene241",20,0,2,0,9,404
"Gene242",671,1,169,116,43,6
"Gene243",8,0,334,4,26,560
"Gene244",1,912,30,16,26,54
"Gene245",50,0,26,395,36,0
"Gene246",110,83,10,12,300,256
"Gene247",4,67,164,100,1,82
"Gene248",43,76,389,0,37,80
"Gene249",4,46,14,63,0,253
"Gene250",196,0,415,124,19,93
"Gene251",257,66,348,148,319,10
"Gene252",188,169,3,3,148,51
"Gene253",491,257,4,392,31,24
"Gene254",38,6,76,25,292,13
"Gene255",142,0,220,8,1,12
"Gene256",0,10,130,8,16,262
"Gene257",64,49,12,159,226,44
"Gene258",22,21,24,160,290,23
"Gene259",18,17,0,221,52,423
"Gene260",9,40,46,10,49,573
"Gene261",1,5,202,38,6,269
"Gene262",9,29,504,2,126,10
"Gene263",44,31,451,43,38,0
"Gene264",39,3,220,27,146,74
"Gene265",21,219,70,19,8,15
"Gene266",0,35,74,72,97,32
"Gene267",295,18,365,43,45,200
"Gene268",67,0,203,2,12,79
"Gene269",90,388,98,137,45,90
"Gene270",26,20,4,3,49,326
"Gene271",10,79,43,206,64,208
"Gene272",368,3,2,29,46,374
"Gene273",202,4,7,85,449,109
"Gene274",140,10,537,37,192,212
"Gene275",150,205,149,159,15,11
"Gene276",2,1,128,48,150,120
"Gene277",5,9,282,364,131,0
"Gene278",50,48,67,221,398,172
"Gene279",103,73,181,18,3,3
"Gene280",189,149,0,166,69,153
